trip_index,station1,station2,distance,duration,node0,node1,node2
378,1800,1031,17.21,36.25,0,2,1
379,1800,1039,18.45,38.97,0,2,1
380,1800,1767,20.3,43.19,0,1,2
381,1800,247,17.21,35.69,0,2,1
382,1800,1038,16.92,32.48,0,1,2
383,1800,258,17.35,35.9,0,2,1
384,1800,249,18.95,40.76,0,2,1
385,1800,1744,22.81,45.01,0,2,1
386,1800,1050,18.88,40.56,0,2,1
387,1800,1821,17.96,38.11,0,2,1
388,1800,1748,22.89,45.19,0,2,1
389,1800,1809,23.24,46.3,0,2,1
390,1800,1749,17.82,37.35,0,2,1
391,1800,1823,20.58,44.86,0,2,1
392,1800,1763,17.96,37.41,0,2,1
393,1800,1102,20.04,43.44,0,2,1
394,1800,1025,20.62,44.85,0,2,1
395,1800,1092,21.11,45.58,0,2,1
396,1800,1765,20.12,43.62,0,2,1
397,1800,1753,19.75,39.48,0,1,2
398,1800,349,19.16,39.72,0,2,1
399,1800,1093,20.25,42.53,0,2,1
400,1800,1808,21.88,47.92,0,2,1
401,1800,1738,21.12,45.24,0,2,1
402,1800,1752,20.45,39.86,0,2,1
403,1800,1757,34.69,51.3,0,2,1
404,1800,1756,20.81,40.99,0,1,2
405,1800,1055,21.65,46.47,0,2,1
406,1800,1754,22.33,47.96,0,2,1
407,1800,1764,22.04,42.39,0,1,2
408,1800,1799,22.75,48.01,0,2,1
409,1800,1770,23.63,49.57,0,2,1
410,1800,1766,24.92,52.48,0,2,1
411,1800,1725,25.99,53.11,0,2,1
412,1800,1747,26.27,53.81,0,2,1
413,1800,1815,43.25,55.53,0,2,1
414,1800,1722,30.72,57.93,0,1,2
415,1800,1807,44.85,54.51,0,2,1
416,1800,1822,45.08,53.91,0,1,2
417,1800,1859,45.37,56.85,0,2,1
418,1800,1819,59.8,57.95,0,1,2
419,1800,1820,62.3,62.76,0,1,2
420,1800,1860,50.02,60.72,0,1,2
421,1800,1864,57.44,68.41,0,2,1
422,1800,1865,56.23,65.04,0,2,1
423,1800,1870,56.02,64.53,0,2,1
424,1800,1871,60.67,68.29,0,2,1
425,1800,1866,64.11,68.68,0,2,1
