,start_station_id,end_station_id,start_station_name,end_station_name,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,count
637,253,1744,Kings Building 2,Morningside Road,55.92320215516664,-3.1716462453634904,55.92798534979654,-3.209749771944871,22
727,258,258,Stockbridge,Stockbridge,55.958565585897226,-3.2080701822277438,55.958565585897226,-3.2080701822277438,22
1820,1050,1050,EICC,EICC,55.94607055533778,-3.2103963310007657,55.94607055533778,-3.2103963310007657,22
3065,1744,253,Morningside Road,Kings Building 2,55.92798534979654,-3.209749771944871,55.92320215516664,-3.1716462453634904,22
1458,1024,183,Meadow Place,Waverley Bridge,55.940237631689435,-3.194640214184801,55.95198075619354,-3.191890332557904,22
2246,1096,1024,West Crosscauseway,Meadow Place,55.9438359841253,-3.1849514084976818,55.940237631689435,-3.194640214184801,22
614,253,265,Kings Building 2,Meadows East,55.92320215516664,-3.1716462453634904,55.939809466328285,-3.182738850746431,22
3593,1767,183,Bruntsfield Links,Waverley Bridge,55.9371232399911,-3.206431879393449,55.95198075619354,-3.191890332557904,22
2525,1721,1721,Tollcross,Tollcross,55.944248052468346,-3.2031045991104747,55.944248052468346,-3.2031045991104747,21
1028,265,358,Meadows East,Leith Walk,55.939809466328285,-3.182738850746431,55.965039805077325,-3.1766864147848537,21
1017,265,254,Meadows East,Kings Building 3,55.939809466328285,-3.182738850746431,55.92347880784664,-3.1753845849070785,21
1338,358,2268,Leith Walk,Picardy Place,55.965039805077325,-3.1766864147848537,55.95653524179326,-3.1862476120746805,21
1554,1025,289,Dundee Terrace,Castle Street,55.93970989541296,-3.2205889336679547,55.95150073734976,-3.2031839065252825,21
79,183,358,Waverley Bridge,Leith Walk,55.95198075619354,-3.191890332557904,55.965039805077325,-3.1766864147848537,21
3612,1767,1024,Bruntsfield Links,Meadow Place,55.9371232399911,-3.206431879393449,55.940237631689435,-3.194640214184801,21
879,260,1744,Lauriston Place,Morningside Road,55.94477165233547,-3.197265856419562,55.92798534979654,-3.209749771944871,21
1517,1024,1767,Meadow Place,Bruntsfield Links,55.940237631689435,-3.194640214184801,55.9371232399911,-3.206431879393449,21
3314,1753,1753,Waitrose Comely Bank,Waitrose Comely Bank,55.95953624971772,-3.223434402338853,55.95953624971772,-3.223434402338853,21
1506,1024,1731,Meadow Place,Pleasance Courtyard,55.940237631689435,-3.194640214184801,55.947490592969416,-3.1811121261019646,20
776,259,250,St Andrew Square,Victoria Quay,55.95490573198223,-3.192443756949956,55.97761715254634,-3.174126319457628,20
1012,265,248,Meadows East,Bristo Square,55.939809466328285,-3.182738850746431,55.945833715992855,-3.1890530720754664,20
1032,265,1025,Meadows East,Dundee Terrace,55.939809466328285,-3.182738850746431,55.93970989541296,-3.2205889336679547,20
4037,1814,1728,Abbeyhill,Portobello - Kings Road,55.95524788917224,-3.1722162800950704,55.957915406923476,-3.118332042090288,20
2412,1102,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.2181846832795604,55.94556945067266,-3.2181846832795604,20
410,248,1767,Bristo Square,Bruntsfield Links,55.945833715992855,-3.1890530720754664,55.9371232399911,-3.206431879393449,20
